"p_val ""avg_log2FC"" ""pct.1"" ""pct.2"" ""p_val_adj"" ""cluster"" ""gene"""
"197 6.00511270446368e-74 1.18838256203053 0.663 0.207 7.8444787258409e-70 ""5"" ""LOC5564316"""
"198 6.35776320657249e-71 1.18421813295462 0.976 0.656 8.30514607674565e-67 ""5"" ""LOC5574265"""
"199 9.54907420250121e-71 1.31055405536829 0.909 0.483 1.24739556307273e-66 ""5"" ""LOC5564094"""
"200 1.50518239921532e-70 1.07239779362044 0.519 0.132 1.96621976809497e-66 ""5"" ""LOC5565303"""
"201 2.37200760914351e-70 1.12696447951079 0.963 0.71 3.09855353982417e-66 ""5"" ""LOC5564135"""
"202 6.30243994695252e-67 1.24999466660038 0.929 0.58 8.23287730270408e-63 ""5"" ""LOC5567948"""
"203 2.17857334587279e-63 1.18243430760066 0.734 0.283 2.84587036171363e-59 ""5"" ""LOC5569939"""
"204 6.44179081635157e-61 1.1300348890969 0.717 0.302 8.41491134340006e-57 ""5"" ""LOC5567106"""
"205 1.31863380659767e-59 1.12747681713201 0.872 0.482 1.72253134155853e-55 ""5"" ""LOC110675803"""
"206 8.74203937897448e-52 1.05041424096125 0.764 0.358 1.14197260407544e-47 ""5"" ""LOC5570848"""
"207 3.47975871419156e-50 1.15419208150999 0.556 0.201 4.54560880834844e-46 ""5"" ""LOC5572107"""
"208 3.29259534276271e-43 1.03646098677862 0.461 0.154 4.30111729625093e-39 ""5"" ""LOC5564333"""
"209 3.5839815894161e-40 1.01520513823956 0.579 0.247 4.68175515025426e-36 ""5"" ""LOC5563724"""
"210 5.68295089653729e-168 2.81766046245223 0.9 0.261 7.42363875614666e-164 ""6"" ""Ir76b"""
"211 1.24839199274372e-129 1.97412591416769 0.589 0.104 1.63077446012112e-125 ""6"" ""LOC5576886"""
"212 9.79063293885029e-113 1.77345220115225 0.311 0.029 1.27895038080201e-108 ""6"" ""LOC5569444"""
"213 4.17930412036356e-108 1.26429465978199 0.304 0.028 5.45942497243091e-104 ""6"" ""LOC110677774"""
"214 1.03993775405108e-78 1.83240274036247 0.856 0.492 1.35847068811692e-74 ""6"" ""Ir25a"""
"215 1.21773516629448e-68 1.29839725954312 0.959 0.771 1.59072744773049e-64 ""6"" ""LOC5569913"""
"216 2.06861433031002e-65 2.01376846373125 0.419 0.099 2.70223089968398e-61 ""6"" ""Ir41a"""
"217 4.93922643424378e-62 1.36564244479745 0.83 0.421 6.45211149105265e-58 ""6"" ""LOC5577136"""
"218 4.53768112809176e-57 1.22886725530954 0.526 0.161 5.92757285762627e-53 ""6"" ""LOC5575522"""
"219 1.20435473458067e-55 1.38935278627361 0.774 0.368 1.57324858978273e-51 ""6"" ""LOC5577138"""
"220 4.54688438794305e-49 1.18355935876497 0.937 0.844 5.93959507597e-45 ""6"" ""LOC5565213"""
"221 1.5061218209172e-46 1.26048745975285 0.519 0.176 1.96744693466413e-42 ""6"" ""LOC5576693"""
"222 1.29129776858759e-44 1.1116089490692 0.752 0.368 1.68682227510597e-40 ""6"" ""LOC110675368"""
"223 7.00132436856187e-44 2.30852723110684 0.2 0.032 9.14583002265237e-40 ""6"" ""Ir41p"""
"224 1.80511514208338e-39 1.08861933651297 0.189 0.031 2.35802191010352e-35 ""6"" ""LOC5568864"""
"225 8.35710266878558e-39 1.28789497758131 0.53 0.217 1.09168832162346e-34 ""6"" ""LOC5567760"""
"226 1.41882531548993e-38 1.08028044277527 0.837 0.672 1.85341150962449e-34 ""6"" ""LOC5577062"""
"227 3.3232935348935e-36 1.11293180416362 0.607 0.283 4.34121834463138e-32 ""6"" ""LOC5566683"""
"228 2.53761556004626e-35 1.51615016031614 0.226 0.05 3.31488720608843e-31 ""6"" ""Ir41o"""
"229 5.07733894027468e-35 1.09370024142352 0.637 0.335 6.63252785768081e-31 ""6"" ""LOC5565253"""
"230 3.45533136040581e-32 1.21455873230411 0.789 0.612 4.51369935609811e-28 ""6"" ""LOC5567507"""
"231 1.33787900465835e-25 1.12370779596558 0.493 0.236 1.74767134378521e-21 ""6"" ""LOC5577442"""
"232 1.35145653937198e-22 1.07027552889585 0.422 0.193 1.76540767738162e-18 ""6"" ""LOC5573385"""
"233 4.6444314538003e-10 4.50406176314224 0.133 0.05 6.06702080809934e-06 ""6"" ""Ir41k"""
"234 8.4666500091204e-07 1.12868120964313 0.196 0.11 0.011059984906914 ""6"" ""LOC5569778"""
"235 2.43775459237612e-253 2.84534352942033 0.892 0.132 3.18443882402093e-249 ""7"" ""LOC5576634"""
"236 2.54623561023718e-212 2.28741431940083 0.793 0.113 3.32614757765283e-208 ""7"" ""LOC5579861"""
"237 8.49825644639241e-182 1.98991383606737 0.566 0.059 1.11012723959224e-177 ""7"" ""LOC5565509"""
"238 1.07937763338568e-178 2.31434937168987 0.633 0.082 1.40999100249172e-174 ""7"" ""LOC5570081"""
"239 1.76046121868416e-176 3.23148145098992 0.988 0.372 2.29969048996712e-172 ""7"" ""LOC5564097"""
"240 1.13071598996326e-174 2.51916098075437 0.884 0.204 1.477054297689e-170 ""7"" ""LOC5572006"""
"241 1.84527935769733e-168 3.31617114096666 0.992 0.448 2.41048842496002e-164 ""7"" ""LOC5565734"""
"242 4.01975815061263e-168 2.54450539278722 0.869 0.203 5.25101007214528e-164 ""7"" ""LOC5573844"""
"243 2.98683849403373e-146 2.26376334544878 0.976 0.353 3.90170712475627e-142 ""7"" ""LOC5576845"""
"244 6.78318631987636e-142 1.78187820140376 0.414 0.039 8.86087628965449e-138 ""7"" ""LOC110676950"""
"245 1.69580157701779e-140 2.51793897900608 0.988 0.455 2.21522560005834e-136 ""7"" ""LOC5565521"""
