;p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
249;1.30913471675418e-205;1.75372960091223;0.434;0.071;1.72845056653054e-201;6;DIP-delta
250;3.54485239776857e-201;1.70550681498711;0.396;0.061;4.68026862077384e-197;6;CG34155
251;4.83178270741977e-197;1.93944392365502;0.797;0.271;6.37940270860632e-193;6;Dscam2
252;7.39779196367476e-191;1.83930509650813;0.425;0.076;9.76730472963978e-187;6;CG14459
253;1.10344225536887e-190;1.72636699475388;0.682;0.182;1.45687480976353e-186;6;5-HT1A
254;5.21642431970821e-186;1.55144823565183;0.989;0.456;6.88724502931075e-182;6;l(2)41Ab
255;9.11032354125779e-183;1.58583239145877;0.688;0.187;1.20283601715227e-178;6;Scp1
256;6.25967453449974e-176;1.17422349060141;0.243;0.025;8.2646482879e-172;6;CG8407
257;1.75748368701347e-173;1.83861053787951;0.786;0.292;2.32040571196389e-169;6;Eip63F-1
258;1.19832487195565e-170;1.65248823653836;0.287;0.037;1.58214832844304e-166;6;CG12594
259;1.82969731670128e-169;1.1771598250424;1;0.966;2.41574936724069e-165;6;Rdl
260;1.32248596812075e-164;1.38116943466944;0.998;0.753;1.74607822370982e-160;6;CG17684
261;4.90242372546769e-152;1.69562672523842;0.445;0.097;6.47267004473499e-148;6;5-HT7
262;4.93795786515182e-152;1.42934227827567;0.98;0.508;6.51958576935995e-148;6;DIP-lambda
263;1.20754516575741e-140;1.37991757732771;0.517;0.135;1.59432188234951e-136;6;nompC
264;9.60693320885459e-140;1.75699997026177;0.441;0.104;1.26840339156507e-135;6;CG33543
265;2.75437939994233e-136;1.44802347190122;0.354;0.069;3.63660712174386e-132;6;5-HT1B
266;1.78796298988198e-132;1.423232725288;0.564;0.167;2.36064753554118e-128;6;dac
267;1.650946071083e-131;1.60725833528453;0.802;0.375;2.17974409765089e-127;6;mam
268;2.3914152156966e-131;1.30982313168384;0.846;0.382;3.15738550928422e-127;6;Naam
269;9.87784562274548e-131;1.2580114064287;0.265;0.04;1.30417195757109e-126;6;dpr16
270;1.53524011438374e-130;1.21491959535478;0.975;0.642;2.02697752302085e-126;6;msi
271;1.64368100569248e-124;1.38974047489566;0.401;0.095;2.17015203181578e-120;6;CG15144
272;5.98166089818082e-123;1.26266757233567;0.966;0.663;7.89758688386814e-119;6;CG42674
273;4.91340242781715e-122;1.22722508943356;0.967;0.704;6.48716522544698e-118;6;bol
274;1.14292694299456e-121;1.32631532315221;0.532;0.155;1.50900644283572e-117;6;CG46025
275;3.11596501101563e-120;1.40972879193364;0.704;0.295;4.11400860404393e-116;6;Ae2
276;2.33120426425834e-118;1.42782135094325;0.194;0.024;3.07788899010029e-114;6;DIP-beta
277;5.91671366939237e-116;1.34519348202732;0.519;0.154;7.81183705769875e-112;6;lncRNA:CR44357
278;2.24462490173294e-114;1.21461118951276;0.348;0.075;2.96357825775801e-110;6;Crg-1
279;2.16178312870811e-112;1.75561401395417;0.401;0.104;2.85420226483332e-108;6;CG42458
280;3.801544938227e-112;1.14541434770566;0.655;0.231;5.0191797819411e-108;6;CG43689
281;1.55837261896663e-108;1.2774775704111;0.436;0.118;2.05751936882164e-104;6;twit
282;7.4197508567242e-108;1.46504257922019;0.603;0.225;9.79629705613297e-104;6;ru
283;6.50506405369854e-103;1.18549681332045;0.348;0.082;8.58863607009819e-99;6;unc79
284;2.37860701245024e-97;1.12581904208403;0.708;0.289;3.14047483853805e-93;6;dpr10
285;4.83849627026145e-94;1.03056176508069;0.762;0.329;6.3882666256262e-90;6;Cngl
286;1.38837403361166e-93;1.24550204704803;0.751;0.387;1.83307023657748e-89;6;DIP-eta
287;7.75604542075374e-92;1.17731165069231;0.733;0.353;1.02403067690212e-87;6;Ten-m
288;1.03726303853414e-90;1.1046071636079;0.37;0.099;1.36949838977662e-86;6;Sytalpha
289;2.42267868342856e-90;1.46706369743096;0.403;0.123;3.19866266573073e-86;6;CG31869
290;3.10988995623485e-89;1.23562341317967;0.688;0.317;4.10598770921687e-85;6;beat-IIIb
291;9.8222950693491e-88;1.00931762541457;0.949;0.703;1.29683761800616e-83;6;Hs3st-A
292;6.36720574484852e-87;1.71087286920092;0.372;0.113;8.4066217449235e-83;6;ome
293;5.83761570447288e-82;1.06799269499518;0.677;0.308;7.70740401461554e-78;6;SiaT
294;1.73801426109183e-79;1.14496631514514;0.702;0.348;2.29470022891954e-75;6;CG31637
295;1.93667036527161e-78;1.53516848206992;0.51;0.206;2.55698588326811e-74;6;Mp
